symbol,date,totalAssets_bal,netIncome_inc,totalRevenue_inc,cashAndShortTermInvestments_bal,Sector,Region
MSFT,2022-06-30,3.6484E+11,72738000000,1.9827E+11,13931000000,Technology,United States
MSFT,2023-06-30,4.11976E+11,72361000000,2.11915E+11,34704000000,Technology,United States
MSFT,2024-06-30,5.12163E+11,88136000000,2.45122E+11,18315000000,Technology,United States
MSFT,2025-06-30,6.19003E+11,1.01832E+11,2.81724E+11,30242000000,Technology,United States
AAPL,2021-09-30,,,,,Technology,United States
AAPL,2022-09-30,3.52755E+11,99803000000,3.94328E+11,23646000000,Technology,United States
AAPL,2023-09-30,3.52583E+11,96995000000,3.83285E+11,29965000000,Technology,United States
AAPL,2024-09-30,3.6498E+11,93736000000,3.91035E+11,29943000000,Technology,United States
AAPL,2025-09-30,3.59241E+11,1.1201E+11,4.16161E+11,35934000000,Technology,United States
GOOGL,2021-12-31,3.59268E+11,76033000000,2.57637E+11,20945000000,Communication Services,United States
GOOGL,2022-12-31,3.65264E+11,59972000000,2.82836E+11,21879000000,Communication Services,United States
GOOGL,2023-12-31,4.02392E+11,73795000000,3.07394E+11,24048000000,Communication Services,United States
GOOGL,2024-12-31,4.50256E+11,1.00118E+11,3.50018E+11,23466000000,Communication Services,United States
NVDA,2022-01-31,44187000000,9752000000,26914000000,1990000000,Technology,United States
NVDA,2023-01-31,41182000000,4368000000,26974000000,3389000000,Technology,United States
NVDA,2024-01-31,65728000000,29760000000,60922000000,7280000000,Technology,United States
NVDA,2025-01-31,1.11601E+11,72880000000,1.30497E+11,8589000000,Technology,United States
ORCL,2021-05-31,,,,,Technology,United States
ORCL,2022-05-31,1.09297E+11,6717000000,42440000000,21383000000,Technology,United States
ORCL,2023-05-31,1.34384E+11,8503000000,49954000000,9765000000,Technology,United States
ORCL,2024-05-31,1.40976E+11,10467000000,52961000000,10454000000,Technology,United States
ORCL,2025-05-31,1.68361E+11,12443000000,57399000000,10786000000,Technology,United States
CSCO,2022-07-31,94002000000,11812000000,51557000000,7079000000,Technology,United States
CSCO,2023-07-31,1.01852E+11,12613000000,56998000000,10123000000,Technology,United States
CSCO,2024-07-31,1.24413E+11,10320000000,53803000000,7508000000,Technology,United States
CSCO,2025-07-31,1.22291E+11,10180000000,56654000000,8346000000,Technology,United States
JPM,2021-12-31,3.74357E+12,48334000000,1.21685E+11,7.40834E+11,Financial Services,United States
JPM,2022-12-31,3.66574E+12,37676000000,1.27727E+11,5.67234E+11,Financial Services,United States
JPM,2023-12-31,3.87539E+12,49552000000,1.54952E+11,6.24151E+11,Financial Services,United States
JPM,2024-12-31,4.00281E+12,58471000000,1.69439E+11,4.69317E+11,Financial Services,United States
BAC,2020-12-31,,,,,Financial Services,United States
BAC,2021-12-31,3.1695E+12,31978000000,89113000000,3.55365E+11,Financial Services,United States
BAC,2022-12-31,3.05138E+12,27528000000,94950000000,2.37462E+11,Financial Services,United States
BAC,2023-12-31,3.18015E+12,26515000000,98581000000,3.41419E+11,Financial Services,United States
BAC,2024-12-31,3.26152E+12,27132000000,1.01887E+11,2.96486E+11,Financial Services,United States
V,2022-09-30,85501000000,14957000000,29310000000,15689000000,Financial Services,United States
V,2023-09-30,90499000000,17273000000,32653000000,16286000000,Financial Services,United States
V,2024-09-30,94511000000,19743000000,35926000000,11975000000,Financial Services,United States
V,2025-09-30,99627000000,20058000000,40000000000,17164000000,Financial Services,United States
MA,2021-12-31,37669000000,8687000000,18884000000,7421000000,Financial Services,United States
MA,2022-12-31,38724000000,9930000000,22237000000,7008000000,Financial Services,United States
MA,2023-12-31,42448000000,11195000000,25098000000,8588000000,Financial Services,United States
MA,2024-12-31,48081000000,12874000000,28167000000,8442000000,Financial Services,United States
JNJ,2021-12-31,1.82018E+11,20878000000,78740000000,14487000000,Healthcare,United States
JNJ,2022-12-31,1.87378E+11,17941000000,79990000000,12889000000,Healthcare,United States
JNJ,2023-12-31,1.67558E+11,35153000000,85159000000,21859000000,Healthcare,United States
JNJ,2024-12-31,1.80104E+11,14066000000,88821000000,24105000000,Healthcare,United States
MRK,2020-12-31,,,,,Healthcare,United States
MRK,2021-12-31,1.05694E+11,13049000000,48704000000,8096000000,Healthcare,United States
MRK,2022-12-31,1.0916E+11,14519000000,59283000000,12694000000,Healthcare,United States
MRK,2023-12-31,1.06675E+11,365000000,60115000000,6841000000,Healthcare,United States
MRK,2024-12-31,1.17106E+11,17117000000,64168000000,13242000000,Healthcare,United States
ABBV,2021-12-31,1.46529E+11,11542000000,56197000000,9746000000,Healthcare,United States
ABBV,2022-12-31,1.38805E+11,11836000000,58054000000,9201000000,Healthcare,United States
ABBV,2023-12-31,1.34711E+11,4863000000,54318000000,12814000000,Healthcare,United States
ABBV,2024-12-31,1.35161E+11,4278000000,56334000000,5524000000,Healthcare,United States
UNH,2020-12-31,,,,,Healthcare,United States
UNH,2021-12-31,2.12206E+11,17285000000,2.87597E+11,21375000000,Healthcare,United States
UNH,2022-12-31,2.45705E+11,20120000000,3.24162E+11,23365000000,Healthcare,United States
UNH,2023-12-31,2.7372E+11,22381000000,3.71622E+11,25427000000,Healthcare,United States
UNH,2024-12-31,2.98278E+11,14405000000,4.00278E+11,25312000000,Healthcare,United States
AMZN,2021-12-31,4.20549E+11,33364000000,4.69822E+11,36220000000,Consumer Cyclical,United States
AMZN,2022-12-31,4.62675E+11,-2722000000,5.13983E+11,53888000000,Consumer Cyclical,United States
AMZN,2023-12-31,5.27854E+11,30425000000,5.74785E+11,73387000000,Consumer Cyclical,United States
AMZN,2024-12-31,6.24894E+11,59248000000,6.37959E+11,78779000000,Consumer Cyclical,United States
WMT,2021-01-31,,,,,Consumer Defensive,United States
WMT,2022-01-31,2.4486E+11,13673000000,5.72754E+11,14760000000,Consumer Defensive,United States
WMT,2023-01-31,2.43197E+11,11680000000,6.11289E+11,8625000000,Consumer Defensive,United States
WMT,2024-01-31,2.52399E+11,15511000000,6.48125E+11,9867000000,Consumer Defensive,United States
WMT,2025-01-31,2.60823E+11,19436000000,6.80985E+11,9037000000,Consumer Defensive,United States
KO,2020-12-31,,,,,Consumer Defensive,United States
KO,2021-12-31,94354000000,9771000000,38655000000,9684000000,Consumer Defensive,United States
KO,2022-12-31,92763000000,9542000000,43004000000,9519000000,Consumer Defensive,United States
KO,2023-12-31,97703000000,10714000000,45754000000,9366000000,Consumer Defensive,United States
KO,2024-12-31,1.00549E+11,10631000000,47061000000,10828000000,Consumer Defensive,United States
GE,2020-12-31,,,,,Industrials,United States
GE,2021-12-31,1.98874E+11,-6337000000,56469000000,15770000000,Industrials,United States
GE,2022-12-31,1.88851E+11,336000000,29139000000,15810000000,Industrials,United States
GE,2023-12-31,1.733E+11,9482000000,35348000000,15204000000,Industrials,United States
GE,2024-12-31,1.2314E+11,6556000000,38702000000,13619000000,Industrials,United States
CAT,2021-12-31,82793000000,6489000000,50971000000,9254000000,Industrials,United States
