symbol,date,totalAssets_bal,netIncome_inc,totalRevenue_inc,cashAndShortTermInvestments_bal,Sector,Region
MSFT,2022-06-30,364840000000.0,72738000000.0,198270000000.0,13931000000.0,Technology,United States
MSFT,2023-06-30,411976000000.0,72361000000.0,211915000000.0,34704000000.0,Technology,United States
MSFT,2024-06-30,512163000000.0,88136000000.0,245122000000.0,18315000000.0,Technology,United States
MSFT,2025-06-30,619003000000.0,101832000000.0,281724000000.0,30242000000.0,Technology,United States
AAPL,2021-09-30,,,,,Technology,United States
AAPL,2022-09-30,352755000000.0,99803000000.0,394328000000.0,23646000000.0,Technology,United States
AAPL,2023-09-30,352583000000.0,96995000000.0,383285000000.0,29965000000.0,Technology,United States
AAPL,2024-09-30,364980000000.0,93736000000.0,391035000000.0,29943000000.0,Technology,United States
AAPL,2025-09-30,359241000000.0,112010000000.0,416161000000.0,35934000000.0,Technology,United States
GOOGL,2021-12-31,359268000000.0,76033000000.0,257637000000.0,20945000000.0,Communication Services,United States
GOOGL,2022-12-31,365264000000.0,59972000000.0,282836000000.0,21879000000.0,Communication Services,United States
GOOGL,2023-12-31,402392000000.0,73795000000.0,307394000000.0,24048000000.0,Communication Services,United States
GOOGL,2024-12-31,450256000000.0,100118000000.0,350018000000.0,23466000000.0,Communication Services,United States
NVDA,2022-01-31,44187000000.0,9752000000.0,26914000000.0,1990000000.0,Technology,United States
NVDA,2023-01-31,41182000000.0,4368000000.0,26974000000.0,3389000000.0,Technology,United States
NVDA,2024-01-31,65728000000.0,29760000000.0,60922000000.0,7280000000.0,Technology,United States
NVDA,2025-01-31,111601000000.0,72880000000.0,130497000000.0,8589000000.0,Technology,United States
ORCL,2021-05-31,,,,,Technology,United States
ORCL,2022-05-31,109297000000.0,6717000000.0,42440000000.0,21383000000.0,Technology,United States
ORCL,2023-05-31,134384000000.0,8503000000.0,49954000000.0,9765000000.0,Technology,United States
ORCL,2024-05-31,140976000000.0,10467000000.0,52961000000.0,10454000000.0,Technology,United States
ORCL,2025-05-31,168361000000.0,12443000000.0,57399000000.0,10786000000.0,Technology,United States
CSCO,2022-07-31,94002000000.0,11812000000.0,51557000000.0,7079000000.0,Technology,United States
CSCO,2023-07-31,101852000000.0,12613000000.0,56998000000.0,10123000000.0,Technology,United States
CSCO,2024-07-31,124413000000.0,10320000000.0,53803000000.0,7508000000.0,Technology,United States
CSCO,2025-07-31,122291000000.0,10180000000.0,56654000000.0,8346000000.0,Technology,United States
JPM,2021-12-31,3743567000000.0,48334000000.0,121685000000.0,740834000000.0,Financial Services,United States
JPM,2022-12-31,3665743000000.0,37676000000.0,127727000000.0,567234000000.0,Financial Services,United States
JPM,2023-12-31,3875393000000.0,49552000000.0,154952000000.0,624151000000.0,Financial Services,United States
JPM,2024-12-31,4002814000000.0,58471000000.0,169439000000.0,469317000000.0,Financial Services,United States
BAC,2020-12-31,,,,,Financial Services,United States
BAC,2021-12-31,3169495000000.0,31978000000.0,89113000000.0,355365000000.0,Financial Services,United States
